timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns
140896,-295,161,9,1541,3830,-7370,1745203219140587533
141088,-261,70,7,1100,2638,-7794,1745203219140587533
141280,-142,35,-9,1547,3395,-7564,1745203219140587533
141472,-102,39,-13,1628,3380,-7500,1745203219140587533
141664,-53,55,-16,1510,3356,-7537,1745203219140587533
141856,9,30,-26,1438,3426,-7464,1745203219140587533
142048,46,58,-32,1438,3360,-7458,1745203219140587533
142240,98,54,-36,1600,3069,-7485,1745203219140587533
142432,112,22,-37,1762,2808,-7543,1745203219140587533
142624,103,16,-33,1792,2641,-7527,1745203219140587533
142816,103,1,-26,1672,2581,-7461,1745203219140587533
143008,77,-10,-22,1575,2443,-7443,1745203219140587533
143200,34,-23,-21,1661,2201,-7514,1745203219196802228
143584,-70,-61,0,1614,2107,-7608,1745203219196802228
143776,-117,-61,8,1495,2231,-7628,1745203219196802228
143968,-159,-63,6,1400,2374,-7617,1745203219196802228
144160,-198,-61,-3,1383,2454,-7595,1745203219196802228
144352,-212,-61,-10,1374,2455,-7592,1745203219196802228
144544,-226,-58,-5,1360,2510,-7585,1745203219196802228
144736,-228,-50,4,1369,2572,-7616,1745203219196802228
144928,-215,-48,14,1399,2760,-7691,1745203219196802228
145120,-198,-48,15,1414,2954,-7744,1745203219196802228
145312,-173,-52,10,1583,3273,-7738,1745203219196802228
145504,-116,-70,8,1776,3668,-7735,1745203219196802228
145696,-32,-81,4,1717,3972,-7746,1745203219252990465
145888,60,-76,-11,1524,4085,-7763,1745203219252990465
146080,154,-57,-36,1293,4090,-7734,1745203219252990465
146272,258,-28,-59,1058,4009,-7731,1745203219252990465
146464,363,18,-72,744,3879,-7747,1745203219252990465
146656,284,75,-82,324,2563,-7756,1745203219252990465
146848,388,151,-70,995,4568,-7910,1745203219252990465
147040,520,184,-49,393,4593,-9788,1745203219252990465
147232,5,174,-38,-183,2158,-5067,1745203219252990465
147424,626,186,-103,864,2998,-5322,1745203219252990465
147616,672,360,-88,1300,1908,-6922,1745203219252990465
147808,631,348,-30,1813,1419,-7676,1745203219252990465
148000,486,280,18,2394,952,-7556,1745203219313546006
148192,327,241,43,2699,833,-7743,1745203219313546006
148384,179,168,43,2774,995,-7783,1745203219313546006
148576,46,98,25,2675,1361,-7729,1745203219313546006
148768,-49,40,3,2349,1768,-7713,1745203219313546006
148960,-108,-1,-16,1987,2143,-7683,1745203219313546006
149152,-133,-20,-28,1619,2414,-7618,1745203219313546006
149344,-132,-17,-36,1335,2546,-7579,1745203219313546006
149536,-131,3,-42,1200,2551,-7557,1745203219313546006
149728,-141,36,-49,1241,2464,-7552,1745203219313546006
