timestamp,emg0,emg1,emg2,emg3,pkt_time_ns
5551210,4095,2554,1566,1389,1745204718512240556
5552208,4089,2960,1209,1077,1745204718512240556
5553208,4088,3270,941,845,1745204718512240556
5554208,4088,3499,955,669,1745204718512240556
5555208,4089,3658,1617,939,1745204718512240556
5556208,4088,3468,2269,1700,1745204718512240556
5557208,4086,2539,2748,2308,1745204718512240556
5558208,4086,1876,3114,2765,1745204718512240556
5559208,4088,1433,3388,3116,1745204718512240556
5560208,4088,1106,3583,3375,1745204718512240556
5561209,4087,972,3385,3073,1745204718512240556
5562209,4086,1387,2509,2261,1745204718512240556
5563209,4087,2065,1844,1679,1745204718512240556
5564209,4088,2593,1404,1289,1745204718512240556
5565209,4088,2992,1086,1004,1745204718512240556
5566209,4088,3293,858,790,1745204718512240556
5567209,4088,3517,1140,721,1745204718512240556
5568209,4088,3619,1873,1336,1745204718512240556
5569209,4085,2901,2461,2025,1745204718512240556
5570209,4084,2114,2892,2559,1745204718512240556
5571209,4083,1587,3223,2955,1745204718512240556
5572209,4083,1225,3469,3261,1745204718512240556
5573210,4083,1045,3384,3080,1745204718512240556
5574210,4082,1414,2559,2296,1745204718512240556
5575210,4082,2076,1874,1700,1745204718512240556
5576210,4086,2606,1422,1304,1745204718512240556
5577210,4082,3002,1098,1014,1745204718512240556
5578210,4082,3299,857,800,1745204718512240556
5579210,4083,3517,675,635,1745204718512240556
5580210,4081,3668,535,511,1745204718512240556
5581210,4081,3782,579,418,1745204718512240556
5582210,4082,3865,1103,339,1745204718512240556
5583210,4082,3921,1831,277,1745204718512240556
5584210,4083,3962,2413,229,1745204718512240556
5585211,4082,3990,2850,193,1745204718512240556
5586211,4081,4011,3186,162,1745204718512240556
5587211,4081,4026,3436,266,1745204718512240556
5588211,4081,4036,3616,834,1745204718512240556
5589211,4082,4044,3750,1488,1745204718512240556
5590211,4082,4050,3845,1628,1745204718512240556
5591211,4081,4055,3913,1261,1745204718512240556
5592211,4081,4059,3709,952,1745204718512240556
5593211,4081,4060,2800,731,1745204718512240556
5594211,4074,4061,2049,569,1745204718512240556
5595211,4058,4061,1544,456,1745204718512240556
5596211,4039,4062,1197,361,1745204718512240556
5597212,4019,4063,934,290,1745204718512240556
5598212,3997,4062,857,236,1745204718512240556
5599212,3976,4064,1173,195,1745204718512240556
5600212,3955,4064,1797,162,1745204718512240556
5601212,3937,4063,2403,138,1745204718512240556
5602212,3919,4064,2848,118,1745204718512240556
5603212,3901,4064,3188,105,1745204718512240556
5604212,3884,4064,3442,413,1745204718512240556
5605212,3867,4063,3619,1147,1745204718512240556
5606212,3850,4064,3755,1682,1745204718512240556
5607212,3834,4065,3850,1621,1745204718512240556
5608212,3818,4065,3757,1216,1745204718512240556
5609213,3802,4065,2886,914,1745204718567544635
5610213,3785,4064,2098,713,1745204718567544635
5611213,3770,4064,1578,555,1745204718567544635
5612213,3755,4064,1221,446,1745204718567544635
5613213,3738,4062,952,355,1745204718567544635
5614213,3723,4061,749,285,1745204718567544635
5615213,3708,4061,593,233,1745204718567544635
5616214,3690,4051,481,192,1745204718567544635
5617213,3677,4061,540,161,1745204718567544635
5618214,3665,4066,957,136,1745204718567544635
5619214,3648,4060,1601,116,1745204718567544635
5620213,3633,4059,2229,101,1745204718567544635
5621214,3627,4058,2707,90,1745204718567544635
5622214,3603,4059,3078,83,1745204718567544635
5623214,3588,4058,3357,75,1745204718567544635
5624214,3583,4058,3565,98,1745204718567544635
5625214,3570,4060,3707,446,1745204718567544635
5626214,3557,4060,3818,997,1745204718567544635
5627214,3545,4061,3893,1305,1745204718567544635
5628214,3530,4063,3950,1145,1745204718567544635
5629214,3515,4063,3856,852,1745204718567544635
5630214,3502,4063,3128,651,1745204718567544635
5631214,3488,4063,2272,511,1745204718567544635
