timestamp,emg0,emg1,emg2,emg3,pkt_time_ns
6983367,4086,4088,2475,1916,1745203091621266683
6984367,4085,4088,2490,1917,1745203091677788563
6985367,4085,4086,2506,1924,1745203091677788563
6986367,4086,4088,2512,1931,1745203091677788563
6987367,4087,4086,2512,1938,1745203091677788563
6988367,4088,4088,2501,1947,1745203091677788563
6989368,4088,4088,2483,1953,1745203091677788563
6990368,4086,4088,2462,1962,1745203091677788563
6991368,4085,4088,2443,1970,1745203091677788563
6992368,4088,4088,2425,1979,1745203091677788563
6993368,4086,4085,2408,1988,1745203091677788563
6994368,4086,4088,2395,1992,1745203091677788563
6995368,4086,4088,2385,1994,1745203091677788563
6996368,4082,4088,2375,1996,1745203091677788563
6997368,4086,4088,2365,1997,1745203091677788563
6998368,4088,4086,2357,1996,1745203091677788563
6999370,4088,4088,2349,1992,1745203091677788563
7000368,4085,4088,2339,1989,1745203091677788563
7001369,4086,4086,2324,1984,1745203091677788563
7002369,4085,4089,2309,1980,1745203091677788563
7003369,4056,4088,2291,1980,1745203091677788563
7004369,4088,4088,2270,1980,1745203091677788563
7005369,4086,4086,2246,1986,1745203091677788563
7006369,4086,4086,2223,1987,1745203091677788563
7007369,4088,4088,2200,1987,1745203091677788563
7008369,4088,4083,2182,1993,1745203091677788563
7009369,4085,4088,2168,1994,1745203091677788563
7010369,4086,4088,2159,1996,1745203091677788563
7011369,4086,4087,2156,1997,1745203091677788563
7012369,4086,4087,2157,1996,1745203091677788563
7013370,4084,4089,2162,1993,1745203091677788563
7014370,4086,4088,2178,1988,1745203091677788563
7015370,4085,4088,2190,1988,1745203091677788563
7016370,4086,4088,2202,1980,1745203091677788563
7017370,4085,4086,2209,1979,1745203091677788563
7018370,4088,4087,2207,1976,1745203091677788563
7019370,4087,4086,2203,1976,1745203091677788563
7020370,4086,4086,2191,1973,1745203091677788563
7021370,4088,4087,2182,1977,1745203091677788563
7022370,4086,4088,2176,1978,1745203091677788563
7023370,4086,4086,2178,1980,1745203091677788563
7024370,4086,4086,2197,1981,1745203091677788563
7025371,4086,4086,2224,1986,1745203091677788563
7026371,4088,4088,2252,1989,1745203091677788563
7027371,4088,4086,2273,1993,1745203091677788563
7028371,4086,4087,2285,1998,1745203091677788563
7029371,4088,4086,2281,2003,1745203091677788563
7030371,4086,4085,2258,2009,1745203091677788563
7031371,4085,4086,2224,2014,1745203091677788563
7032371,4085,4084,2181,2025,1745203091677788563
7033371,4085,4072,2132,2032,1745203091677788563
7034371,4086,4054,2081,2034,1745203091677788563
7035371,4088,4036,2024,2037,1745203091677788563
7036372,4089,4017,1965,2038,1745203091677788563
7037372,4084,3997,1899,2037,1745203091677788563
7038372,4085,3977,1840,2034,1745203091677788563
7039372,4086,3958,1796,2032,1745203091677788563
7040372,4082,3939,1782,2027,1745203091677788563
7041372,4068,3921,1794,2020,1745203091677788563
7042372,4053,3905,1836,2009,1745203091731171356
7043372,4032,3888,1894,1995,1745203091731171356
7044372,4013,3872,1966,1984,1745203091731171356
7045372,3992,3857,2052,1973,1745203091731171356
7046372,3972,3838,2136,1969,1745203091731171356
7047372,3953,3822,2208,1968,1745203091731171356
7048372,3936,3808,2265,1964,1745203091731171356
7049373,3917,3792,2304,1963,1745203091731171356
7050373,3900,3776,2326,1958,1745203091731171356
7051373,3884,3761,2342,1953,1745203091731171356
7052373,3866,3745,2355,1947,1745203091731171356
7053373,3850,3727,2365,1938,1745203091731171356
7054373,3835,3705,2368,1929,1745203091731171356
7055374,3818,3682,2352,1917,1745203091731171356
7056373,3802,3665,2321,1910,1745203091731171356
7057373,3788,3650,2282,1902,1745203091731171356
7058373,3774,3638,2244,1897,1745203091731171356
7059373,3756,3627,2209,1899,1745203091731171356
7060373,3740,3618,2185,1899,1745203091731171356
7061374,3728,3608,2164,1899,1745203091731171356
7062374,3712,3595,2150,1902,1745203091731171356
7063374,3696,3583,2140,1905,1745203091731171356
7064374,3682,3579,2139,1916,1745203091731171356
7065374,3668,3566,2139,1932,1745203091731171356
7066374,3652,3552,2139,1953,1745203091731171356
7067374,3638,3541,2127,1973,1745203091731171356
7068374,3624,3526,2109,1993,1745203091731171356
7069374,3610,3514,2086,2012,1745203091731171356
7070374,3597,3501,2067,2024,1745203091731171356
7071374,3584,3489,2053,2047,1745203091731171356
7072374,3577,3476,2041,2044,1745203091731171356
7073375,3564,3464,2038,2042,1745203091731171356
7074375,3550,3450,2049,2036,1745203091731171356
7075375,3537,3437,2058,2025,1745203091731171356
7076375,3525,3424,2061,2008,1745203091731171356
7077375,3510,3412,2057,1994,1745203091731171356
7078375,3498,3400,2045,1986,1745203091731171356
7079375,3484,3388,2026,1982,1745203091731171356
7080375,3471,3377,2005,1980,1745203091731171356
7081375,3460,3366,1993,1978,1745203091731171356
7082375,3446,3352,1982,1973,1745203091731171356
7083375,3434,3341,1984,1973,1745203091731171356
7084375,3423,3330,1994,1976,1745203091731171356
7085376,3410,3320,2004,1982,1745203091731171356
7086376,3400,3309,2021,1992,1745203091731171356
7087376,3386,3296,2034,2001,1745203091731171356
7088376,3376,3284,2050,2008,1745203091731171356
7089376,3363,3274,2054,2013,1745203091731171356
7090376,3352,3261,2051,2024,1745203091731171356
7091376,3341,3236,2041,2027,1745203091731171356
7092376,3328,3188,2021,2032,1745203091731171356
7093376,3317,3120,1994,2032,1745203091731171356
7094376,3306,3049,1958,2030,1745203091731171356
7095376,3295,2981,1913,2026,1745203091731171356
7096376,3284,2931,1860,2023,1745203091731171356
7097377,3273,2897,1805,2018,1745203091731171356
7098377,3261,2878,1748,2016,1745203091731171356
7099377,3252,2874,1697,2016,1745203091731171356
7100377,3240,2877,1653,2014,1745203091796813725
7101377,3232,2895,1628,2013,1745203091796813725
7102377,3219,2929,1616,2016,1745203091796813725
7103377,3209,2968,1620,2014,1745203091796813725
7104377,3198,3002,1637,2013,1745203091796813725
7105377,3187,3032,1655,2013,1745203091796813725
7106377,3179,3050,1681,2012,1745203091796813725
7107377,3169,3064,1699,2013,1745203091796813725
7108377,3158,3060,1713,2014,1745203091796813725
7109379,3149,3033,1724,2018,1745203091796813725
7110378,3139,2980,1722,2020,1745203091796813725
7111378,3129,2911,1723,2025,1745203091796813725
7112378,3119,2828,1721,2030,1745203091796813725
7113378,3109,2745,1736,2038,1745203091796813725
7114378,3102,2660,1760,2042,1745203091796813725
7115378,3091,2584,1801,2044,1745203091796813725
7116378,3083,2525,1850,2042,1745203091796813725
7117378,3075,2470,1897,2039,1745203091796813725
7118378,3065,2435,1929,2036,1745203091796813725
7119378,3056,2410,1941,2034,1745203091796813725
7120378,3045,2397,1929,2034,1745203091796813725
7121379,3036,2399,1920,2032,1745203091796813725
7122379,3029,2444,1899,2034,1745203091796813725
7123379,3020,2511,1894,2037,1745203091796813725
7124379,3010,2589,1902,2043,1745203091796813725
7125379,3004,2676,1926,2050,1745203091796813725
7126379,2995,2746,1953,2054,1745203091796813725
7127379,2986,2785,1966,2058,1745203091796813725
7128379,2978,2784,1963,2060,1745203091796813725
7129379,2970,2738,1938,2060,1745203091796813725
7130379,2961,2657,1905,2057,1745203091796813725
7131379,2953,2559,1865,2045,1745203091796813725
7132379,2946,2436,1833,2038,1745203091796813725
7133380,2938,2308,1825,2030,1745203091796813725
7134380,2931,2192,1851,2021,1745203091796813725
7135380,2922,2086,1897,2012,1745203091796813725
7136380,2914,1997,1940,2005,1745203091796813725
7137380,2907,1931,1976,2003,1745203091796813725
7138380,2898,1885,1992,2004,1745203091796813725
7139380,2892,1858,1997,2006,1745203091796813725
7140380,2884,1840,2001,2009,1745203091796813725
7141380,2876,1844,2001,2005,1745203091796813725
7142380,2870,1880,2005,1997,1745203091796813725
7143380,2864,1947,2008,1989,1745203091796813725
7144380,2856,2032,2008,1981,1745203091796813725
7145381,2848,2113,2006,1977,1745203091796813725
7146381,2840,2170,2003,1979,1745203091796813725
7147381,2834,2202,2000,1981,1745203091796813725
7148381,2828,2198,1987,1989,1745203091796813725
7149381,2822,2155,1967,2001,1745203091796813725
7150381,2814,2082,1938,2013,1745203091796813725
7151381,2808,1979,1912,2027,1745203091796813725
7152381,2786,1860,1885,2035,1745203091796813725
7153381,2726,1741,1856,2043,1745203091796813725
7154381,2637,1628,1816,2049,1745203091796813725
7155381,2549,1534,1778,2051,1745203091796813725
7156381,2468,1451,1738,2052,1745203091796813725
7157382,2413,1385,1692,2048,1745203091796813725
7158382,2387,1336,1650,2055,1745203091858221862
7159382,2387,1303,1612,2036,1745203091858221862
7160382,2398,1285,1580,2029,1745203091858221862
7161382,2429,1282,1557,2025,1745203091858221862
