timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,pkt_time_ns,series_id
44512,-90,35,-25,768,1209,-8515,1745153840875274307,0
44704,251,-48,8,467,894,-7463,1745153840875274307,0
44896,-87,9,-27,723,591,-8426,1745153840875274307,0
45088,-100,-48,-43,708,1118,-7893,1745153840875274307,0
45280,-125,-48,-15,609,1143,-7994,1745153840875274307,0
45472,-83,-83,0,603,990,-8043,1745153840875274307,0
45664,-111,-126,-3,599,1082,-8077,1745153840875274307,0
45856,-134,-131,-8,433,1088,-8146,1745153840875274307,0
46048,-146,-154,-2,263,1043,-8128,1745153840875274307,0
46240,-199,-158,17,51,1126,-8157,1745153840875274307,0
46432,-226,-154,40,-33,1182,-8235,1745153840875274307,0
46624,-220,-140,57,-171,1061,-8199,1745153840875274307,0
46816,-223,-101,56,-190,1124,-8251,1745153840924831407,0
47008,-207,-73,44,-192,1241,-8222,1745153840924831407,0
47200,-197,-48,33,-175,1303,-8254,1745153840924831407,0
47392,-175,-23,22,-97,1319,-8285,1745153840924831407,0
47584,-150,-6,17,-10,1323,-8278,1745153840924831407,0
47776,-137,4,17,80,1301,-8297,1745153840924831407,0
47968,-132,-2,21,165,1315,-8248,1745153840924831407,0
48160,-116,-5,26,216,1236,-8201,1745153840924831407,0
48352,-92,5,19,75,1156,-8220,1745153840924831407,0
48544,-69,28,1,-187,1125,-8233,1745153840924831407,0
48736,-58,61,-13,-345,1146,-8245,1745153840924831407,0
48928,-54,87,-20,-177,1145,-8262,1745153840924831407,0
49120,-57,93,-18,90,1153,-8277,1745153840974247622,0
49312,-69,92,-8,279,1132,-8284,1745153840974247622,0
49504,-81,91,4,329,1189,-8300,1745153840974247622,0
49696,-87,98,7,253,1310,-8335,1745153840974247622,0
49888,-83,112,2,126,1448,-8340,1745153840974247622,0
50080,-64,123,-4,165,1569,-8388,1745153840974247622,0
50272,-35,133,-29,308,1704,-8354,1745153840974247622,0
50464,-20,108,-54,386,1499,-7474,1745153840974247622,0
50656,-18,137,-44,550,1707,-9546,1745153840974247622,0
50848,74,75,-10,1067,2316,-7601,1745153840974247622,0
51040,175,29,-3,949,2398,-8098,1745153840974247622,0
51232,240,14,-6,796,2213,-8222,1745153840974247622,0
51424,296,8,-33,343,1822,-7798,1745153841032865524,0
51616,400,-26,-67,838,1318,-7838,1745153841032865524,0
51808,476,-91,-83,688,1100,-7692,1745153841032865524,0
52000,413,-42,-71,-1240,266,-7494,1745153841032865524,0
52192,285,196,-68,-2000,-349,-7666,1745153841032865524,0
52384,168,265,-70,-1360,-497,-7828,1745153841032865524,0
52576,73,361,-57,-515,-360,-7898,1745153841032865524,0
52768,-23,364,-26,318,-55,-8003,1745153841032865524,0
52960,-97,328,-1,1091,350,-8101,1745153841032865524,0
53152,-128,304,-7,1652,755,-8277,1745153841032865524,0
53344,-143,202,-35,1954,1048,-8353,1745153841032865524,0
53536,-118,96,-74,1982,1217,-8322,1745153841032865524,0
53728,-66,-22,-114,1773,1314,-8397,1745153841128160122,0
53920,-43,-93,-151,1378,1345,-8465,1745153841128160122,0
54112,-44,-131,-175,956,1343,-8546,1745153841128160122,0
54304,-56,-150,-177,610,1279,-8632,1745153841128160122,0
54496,-75,-147,-161,358,1175,-8619,1745153841128160122,0
54688,-95,-124,-139,203,1113,-8610,1745153841128160122,0
54880,-119,-94,-120,133,1043,-8671,1745153841128160122,0
55072,-144,-64,-111,189,972,-8694,1745153841128160122,0
55264,-171,-46,-114,327,921,-8564,1745153841128160122,0
55456,-208,-32,-132,460,920,-8474,1745153841128160122,0
55648,-259,-19,-156,550,888,-8539,1745153841128160122,0
55840,-300,-4,-172,592,905,-8625,1745153841128160122,0
56032,-325,7,-177,628,934,-8624,1745153841143253786,0
56224,-337,10,-175,664,957,-8503,1745153841143253786,0
56416,-342,13,-177,682,924,-8213,1745153841143253786,0
56608,-335,10,-186,712,803,-7961,1745153841143253786,0
56800,-321,-13,-200,848,626,-7947,1745153841143253786,0
56992,-323,-47,-220,940,525,-8021,1745153841143253786,0
57184,-357,-70,-241,994,488,-8037,1745153841143253786,0
57376,-427,-89,-260,945,411,-8076,1745153841143253786,0
57568,-486,-113,-273,890,292,-7963,1745153841143253786,0
57760,-499,-113,-283,784,207,-7935,1745153841143253786,0
57952,-493,-114,-317,768,361,-8351,1745153841143253786,0
58144,-481,-110,-377,736,723,-8511,1745153841143253786,0
58336,-506,-76,-427,744,978,-8450,1745153841206543260,0
58528,-517,-59,-463,749,1176,-8552,1745153841206543260,0
58720,-494,-47,-504,751,1400,-8622,1745153841206543260,0
58912,-509,-33,-545,778,1560,-8846,1745153841206543260,0
59104,-524,-22,-579,630,1889,-8790,1745153841206543260,0
59296,-471,65,-598,175,2562,-8956,1745153841206543260,0
59488,-409,186,-583,-172,2700,-9151,1745153841206543260,0
59680,-329,201,-555,-232,2422,-9807,1745153841206543260,0
59872,-206,219,-534,-154,2289,-9543,1745153841206543260,0
60064,-134,270,-502,114,2214,-9321,1745153841206543260,0
60256,-113,294,-469,532,2052,-9126,1745153841206543260,0
60448,-159,279,-440,1035,1681,-8953,1745153841206543260,0
60640,-275,208,-405,1546,929,-8846,1745153841285134886,0
60832,-404,74,-347,2005,92,-8694,1745153841285134886,0
61024,-514,-91,-280,2320,-391,-8531,1745153841285134886,0
61216,-651,-217,-236,2590,-610,-8938,1745153841285134886,0
61408,-856,-321,-255,2694,-662,-9727,1745153841285134886,0
61600,-1079,-483,-333,2519,-546,-10080,1745153841285134886,0
61792,-1239,-641,-396,2175,-389,-10271,1745153841285134886,0
61984,-1323,-694,-411,1869,139,-10825,1745153841285134886,0
62176,-1337,-704,-408,1681,770,-10703,1745153841285134886,0
62368,-1304,-734,-421,1566,1282,-10242,1745153841285134886,0
62560,-1226,-784,-444,1526,1556,-9822,1745153841285134886,0
62752,-1115,-837,-472,1557,1595,-9295,1745153841285134886,0
62944,-1020,-879,-479,1647,1493,-8881,1745153841323329173,0
63136,-959,-918,-467,1799,1349,-8602,1745153841323329173,0
63328,-942,-960,-443,1950,1280,-8290,1745153841323329173,0
63520,-977,-984,-382,2057,1228,-8110,1745153841323329173,0
63712,-1055,-1009,-301,2114,1120,-8035,1745153841323329173,0
63904,-1122,-1045,-217,2098,947,-7975,1745153841323329173,0
64096,-1159,-1084,-128,2070,960,-8063,1745153841323329173,0
64288,-1261,-1037,55,3450,2951,-8958,1745153841323329173,0
64480,-1559,-839,589,5734,3620,-8076,1745153841323329173,0
64672,-1466,-1108,1009,6751,3187,-8743,1745153841323329173,0
64864,-759,-1677,996,6295,3522,-9309,1745153841323329173,0
65056,18,-2054,703,4572,4019,-9346,1745153841323329173,0
65248,457,-2162,465,2558,3591,-8804,1745153841380320683,0
65440,654,-2095,406,1022,1992,-8137,1745153841380320683,0
65632,848,-1978,524,151,165,-7972,1745153841380320683,0
65824,1054,-1858,790,-150,-1142,-8078,1745153841380320683,0
66016,1158,-1752,1078,-120,-1930,-8231,1745153841380320683,0
66208,1142,-1654,1282,66,-2374,-8323,1745153841380320683,0
66400,1053,-1540,1400,200,-2649,-8293,1745153841380320683,0
66592,932,-1397,1465,485,-3148,-8035,1745153841380320683,0
66784,831,-1316,1424,671,-3306,-7629,1745153841380320683,0
66976,687,-1292,1380,807,-3355,-7749,1745153841380320683,0
67168,571,-1233,1413,883,-3340,-7702,1745153841380320683,0
67360,464,-1182,1468,860,-3170,-7718,1745153841380320683,0
67552,373,-1113,1539,714,-2817,-7869,1745153841437733648,0
67744,295,-1017,1649,563,-2491,-7905,1745153841437733648,0
67936,239,-953,1724,488,-2670,-7364,1745153841437733648,0
68128,247,-956,1701,320,-2236,-7583,1745153841437733648,0
68320,280,-895,1764,190,-2071,-7536,1745153841437733648,0
68512,311,-827,1838,116,-1993,-7411,1745153841437733648,0
68704,348,-751,1915,88,-1899,-7309,1745153841437733648,0
68896,388,-679,2001,93,-1785,-7208,1745153841437733648,0
69088,433,-620,2098,120,-1686,-7063,1745153841437733648,0
69280,490,-572,2202,168,-1532,-6995,1745153841437733648,0
69472,559,-530,2302,253,-1327,-6870,1745153841437733648,0
69664,636,-487,2389,314,-1114,-6808,1745153841437733648,0
69856,715,-434,2462,371,-891,-6802,1745153841497100398,0
70048,803,-386,2529,430,-690,-6829,1745153841497100398,0
70240,898,-345,2598,508,-555,-6888,1745153841497100398,0
